category,sport,image,resolution,ordering,tags,series
soccer,kor,https://polymarket-upload.s3.us-east-2.amazonaws.com/k-league-87b53492f4.png,https://www.kleague.com/,home,"1,100639,100350,102771",10444
soccer,spl,https://polymarket-upload.s3.us-east-2.amazonaws.com/saudi-league-0eb74ab5b8.png,https://www.spl.com.sa/,home,"1,100639,100350,102650",10361
soccer,chi,https://polymarket-upload.s3.us-east-2.amazonaws.com/chinese-super-league-39d902bcb6.png,https://www.cfa.com.cn/,home,"1,100639,100350,102764",10439
soccer,aus,https://polymarket-upload.s3.us-east-2.amazonaws.com/a-league-6595bd3047.jpg,https://www.aleague.com.au/,home,"1,100639,100350,102765",10438
soccer,ind,https://polymarket-upload.s3.us-east-2.amazonaws.com/indian-super-league-726b3b2df4.png,https://www.indiansuperleague.com/,home,"1,100639,100350,102653",10364
soccer,nor,https://polymarket-upload.s3.us-east-2.amazonaws.com/norwegian-elite-2078e62a98.jpg,https://www.eliteserien.no/,home,"1,100639,100350,102651",10362
soccer,den,https://polymarket-upload.s3.us-east-2.amazonaws.com/superliga-b28b8e3c7c.png,https://www.superliga.dk/,home,"1,100639,100350,102652",10363
soccer,por,https://polymarket-upload.s3.us-east-2.amazonaws.com/liga-portugal-18a39e1e8d.png,https://www.ligaportugal.pt/,home,"1,100639,100350,101772",10330
cricket,test,https://polymarket-upload.s3.us-east-2.amazonaws.com/icc-world-test-a3388b385f.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102842",10661
cricket,she,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-sheffield-shield-7aba596ab9.png,https://www.cricket.com.au/matches,home,"1,517,100639,102817",10453
cricket,sasa,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-sa-twenty-e736ea9c36.jpg,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102814",10450
cricket,lpl,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-lanka-premier-league-a0813e2f20.png,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102812",10448
cricket,psp,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-pakistan-tri-series.png,https://www.icc-cricket.com/fixtures-results,home,"1,517,100639,102811",10447
